DIVA;PlatformText;Municipality;MunicipalityID;Longitude;Latitude
60201884;Frohes-Schaffen-Weg;Wien;49000001;16.4410112;48.2758634
60201885;Rosannagasse;Wien;49000001;16.445934;48.2770173
60201886;Tauschekgasse;Wien;49000001;16.434193;48.2754389
60201887;Petritschgasse;Wien;49000001;16.4352261;48.279594
60201888;Leopoldau, Betriebsgarage;Wien;49000001;16.4303842;48.2802875
60201889;Großbauerstraße;Wien;49000001;16.4261172;48.2809809
60201890;Ignaz-Köck-Straße;Wien;49000001;16.3992755;48.2657584
60201891;Taborstraße;Wien;49000001;16.3808331;48.2189744
60201892;Messe-Prater;Wien;49000001;16.4056985;48.2177893
60201893;Krieau;Wien;49000001;16.4141247;48.2144912
60201894;Stadion;Wien;49000001;16.4197661;48.2110792
60201895;Marathonweg;Wien;49000001;16.4268268;48.2086906
60201896;Schipanygasse;Wien;49000001;16.4369598;48.2014703
60201897;Leopold-Moses-Gasse;Wien;49000001;16.3955295;48.2230084
60201898;Harkortstraße;Wien;49000001;16.399042;48.2221825
60201900;Matthäusgasse;Wien;49000001;16.3883071;48.2109055
60201901;Erlafstraße;Wien;49000001;16.4023028;48.2206144
60201903;Langenzersdorfer Straße;Wien;49000001;16.3848306;48.298171
60201905;Molkereistraße;Wien;49000001;16.4011171;48.2180886
60201906;Max-Winter-Platz;Wien;49000001;16.4003715;48.2210453
60201908;Atzgersdorf, Ziedlergasse;Wien;49000001;16.296104;48.1512414
60201909;Melchartgasse;Wien;49000001;16.2951159;48.1723393
60201910;Absberggasse;Wien;49000001;16.3906068;48.1759577
60201911;Niedermeierweg;Wien;49000001;16.48325;48.206254
60201912;Hlawkagasse;Wien;49000001;16.3829711;48.1791025
60201913;Rosenackerstraße;Wien;49000001;16.3058507;48.2242772
60201914;Neu Leopoldau;Wien;49000001;16.4262789;48.2730474
60201915;Ferdinand-Platzer-Gasse;Wien;49000001;16.420889;48.2648375
60201916;Kaisergrund;Wien;49000001;16.4205027;48.2684134
60201917;Paukerwerkstraße;Wien;49000001;16.4266382;48.2698724
60201918;Krakauer Straße;Wien;49000001;16.3931939;48.2244687
60201919;Bruno-Marek-Allee;Wien;49000001;16.3925921;48.2284603
60201920;Eduardgasse;Wien;49000001;16.3400137;48.2227211
60201921;Johann-Nepomuk-Vogl-Platz;Wien;49000001;16.3365821;48.223954
60201922;Berresgasse;Wien;49000001;16.485406;48.2413428
60201923;Grete-Zimmer-Gasse;Wien;49000001;16.4888915;48.2420368
60201924;Mona-Lisa-Steiner-Weg;Wien;49000001;16.2956459;48.1594395
60201925;Lavendelweg;Wien;49000001;16.4933022;48.2257793
60201926;Hagenbrunner Straße;Wien;49000001;16.4064351;48.3021808
60201927;Edergasse;Wien;49000001;16.4091211;48.2777048
60201929;Käthe-Recheis-Gasse;Wien;49000001;16.5122836;48.2286638
60201930;Ilse-Buck-Straße;Wien;49000001;16.5119063;48.2312848
60201931;Dummy Altes Hausfeld;Wien;49000001;16.3825669;48.2187949
60201933;Kleine Mohrengasse;Wien;49000001;16.3835819;48.2161612
60201934;An der Kuhtrift;Wien;49000001;16.3970836;48.1452658
60201935;Atzgersdorf, Bildungscampus;Wien;49000001;16.3009369;48.1522662
60201937;Auer-Welsbach-Straße;Wien;49000001;16.3060843;48.152452
60201938;Seybelgasse;Wien;49000001;16.2946667;48.1375989
60201942;Hans-Czermak-Gasse;Wien;49000001;16.4259465;48.2561838
60201943;Satzingerweg;Wien;49000001;16.4264406;48.2576551
60201947;Wildgartenallee;Wien;49000001;16.2992481;48.1584808
60201954;Leopoldine-Padaurek-Straße ;Wien;49000001;15.3863442;48.4036711
60201955;Halblehenweg;Wien;49000001;15.0677477;48.7235788
