pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,traversal_time
"at:45:50002:4_at:45:50002:15_escalator_1","at:45:50002:4","at:45:50002:15","4","1","120"
"at:45:50002:4_at:45:50002:15_elevator_1","at:45:50002:4","at:45:50002:15","5","1","120"
"at:45:50002:5_at:45:50002:6_walkway_1","at:45:50002:5","at:45:50002:6","1","1","120"
"at:45:50002:5_at:45:50002:9_walkway_1","at:45:50002:5","at:45:50002:9","1","1","60"
"at:45:50002:5_at:45:50002:15_stairs_1","at:45:50002:5","at:45:50002:15","2","1","120"
"at:45:50002:5_at:45:50002:15_escalator_1","at:45:50002:5","at:45:50002:15","4","1","120"
"at:45:50002:5_at:45:50002:15_elevator_1","at:45:50002:5","at:45:50002:15","5","1","120"
"at:45:50002:5_at:45:50002:20_walkway_1","at:45:50002:5","at:45:50002:20","1","1","60"
"at:45:50002:5_at:45:50002:23_walkway_1","at:45:50002:5","at:45:50002:23","1","1","60"
"at:45:50002:5_at:45:50002:25_walkway_1","at:45:50002:5","at:45:50002:25","1","1","60"
"at:45:50002:5_at:45:50002:24_walkway_1","at:45:50002:5","at:45:50002:24","1","1","180"
"at:45:50002:0:6_at:45:50002:9_stairs_1","at:45:50002:0:6","at:45:50002:9","2","1","120"
"at:45:50002:0:6_at:45:50002:9_escalator_1","at:45:50002:0:6","at:45:50002:9","4","1","120"
"at:45:50002:0:6_at:45:50002:9_elevator_1","at:45:50002:0:6","at:45:50002:9","5","1","120"
"at:45:50002:0:7_at:45:50002:9_stairs_1","at:45:50002:0:7","at:45:50002:9","2","1","120"
"at:45:50002:0:8_at:45:50002:9_stairs_1","at:45:50002:0:8","at:45:50002:9","2","1","120"
"at:45:50002:0:7_at:45:50002:9_escalator_1","at:45:50002:0:7","at:45:50002:9","4","1","120"
"at:45:50002:0:8_at:45:50002:9_escalator_1","at:45:50002:0:8","at:45:50002:9","4","1","120"
"at:45:50002:0:7_at:45:50002:9_elevator_1","at:45:50002:0:7","at:45:50002:9","5","1","120"
"at:45:50002:0:8_at:45:50002:9_elevator_1","at:45:50002:0:8","at:45:50002:9","5","1","120"
"at:45:50002:9_at:45:50002:0:10_stairs_1","at:45:50002:9","at:45:50002:0:10","2","1","120"
"at:45:50002:9_at:45:50002:0:10_escalator_1","at:45:50002:9","at:45:50002:0:10","4","1","120"
"at:45:50002:9_at:45:50002:0:10_elevator_1","at:45:50002:9","at:45:50002:0:10","5","1","120"
"at:45:50002:9_at:45:50002:15_stairs_1","at:45:50002:9","at:45:50002:15","2","1","120"
"at:45:50002:9_at:45:50002:15_escalator_1","at:45:50002:9","at:45:50002:15","4","1","120"
"at:45:50002:9_at:45:50002:15_elevator_1","at:45:50002:9","at:45:50002:15","5","1","120"
"at:45:50002:9_at:45:50002:0:12_stairs_1","at:45:50002:9","at:45:50002:0:12","2","1","120"
"at:45:50002:9_at:45:50002:0:11_stairs_1","at:45:50002:9","at:45:50002:0:11","2","1","120"
"at:45:50002:9_at:45:50002:0:12_escalator_1","at:45:50002:9","at:45:50002:0:12","4","1","120"
"at:45:50002:9_at:45:50002:0:11_escalator_1","at:45:50002:9","at:45:50002:0:11","4","1","120"
"at:45:50002:9_at:45:50002:0:12_elevator_1","at:45:50002:9","at:45:50002:0:12","5","1","120"
"at:45:50002:9_at:45:50002:0:11_elevator_1","at:45:50002:9","at:45:50002:0:11","5","1","120"
"at:45:50002:9_at:45:50002:22_stairs_1","at:45:50002:9","at:45:50002:22","2","1","120"
"at:45:50002:9_at:45:50002:22_escalator_1","at:45:50002:9","at:45:50002:22","4","1","120"
"at:45:50002:9_at:45:50002:22_elevator_1","at:45:50002:9","at:45:50002:22","5","1","120"
"at:45:50002:14_at:45:50002:21_walkway_1","at:45:50002:14","at:45:50002:21","1","1","120"
"at:45:50002:14_at:45:50002:22_walkway_1","at:45:50002:14","at:45:50002:22","1","1","60"
"at:45:50002:14_at:45:50002:26_walkway_1","at:45:50002:14","at:45:50002:26","1","1","120"
"at:45:50002:0:12_at:45:50002:19_stairs_1","at:45:50002:0:12","at:45:50002:19","2","1","180"
"at:45:50002:0:11_at:45:50002:19_stairs_1","at:45:50002:0:11","at:45:50002:19","2","1","180"
"at:45:50002:0:12_at:45:50002:19_elevator_1","at:45:50002:0:12","at:45:50002:19","5","1","300"
"at:45:50002:0:11_at:45:50002:19_elevator_1","at:45:50002:0:11","at:45:50002:19","5","1","300"
"at:45:50002:22_at:45:50002:26_walkway_1","at:45:50002:22","at:45:50002:26","1","1","60"
"at:45:50002:0:7_at:45:50002:0:8_walkway_1","at:45:50002:0:7","at:45:50002:0:8","1","1","300"
"at:45:50002:0:12_at:45:50002:0:11_walkway_1","at:45:50002:0:12","at:45:50002:0:11","1","1","300"
"at:49:1468:1_at:49:1468:10_elevator_1","at:49:1468:1","at:49:1468:10","5","1","240"
"at:49:1468:1_at:49:1468:16_walkway_1","at:49:1468:1","at:49:1468:16","1","1","120"
"at:49:1468:1_at:49:1468:18_stairs_1","at:49:1468:1","at:49:1468:18","2","1","90"
"at:49:1468:1_at:49:1468:18_escalator_1","at:49:1468:1","at:49:1468:18","4","1","102"
"at:49:1468:1_at:49:1468:18_elevator_1","at:49:1468:1","at:49:1468:18","5","1","120"
"at:49:1468:2_at:49:1468:10_stairs_1","at:49:1468:2","at:49:1468:10","2","1","60"
"at:49:1468:2_at:49:1468:10_escalator_1","at:49:1468:2","at:49:1468:10","4","1","60"
"at:49:1468:2_at:49:1468:10_elevator_1","at:49:1468:2","at:49:1468:10","5","1","90"
"at:49:1468:2_at:49:1468:15_stairs_1","at:49:1468:2","at:49:1468:15","2","1","150"
"at:49:1468:2_at:49:1468:15_elevator_1","at:49:1468:2","at:49:1468:15","5","1","180"
"at:49:1468:3_at:49:1468:10_stairs_1","at:49:1468:3","at:49:1468:10","2","1","90"
"at:49:1468:3_at:49:1468:10_escalator_1","at:49:1468:3","at:49:1468:10","4","1","90"
"at:49:1468:3_at:49:1468:10_elevator_1","at:49:1468:3","at:49:1468:10","5","1","90"
"at:49:1468:3_at:49:1468:12_stairs_1","at:49:1468:3","at:49:1468:12","2","1","90"
"at:49:1468:3_at:49:1468:12_escalator_1","at:49:1468:3","at:49:1468:12","4","1","60"
"at:49:1468:3_at:49:1468:12_elevator_1","at:49:1468:3","at:49:1468:12","5","1","90"
"at:49:1468:4_at:49:1468:5_walkway_1","at:49:1468:4","at:49:1468:5","1","1","60"
"at:49:1468:4_at:49:1468:6_walkway_1","at:49:1468:4","at:49:1468:6","1","1","30"
"at:49:1468:4_at:49:1468:7_walkway_1","at:49:1468:4","at:49:1468:7","1","1","30"
"at:49:1468:4_at:49:1468:8_walkway_1","at:49:1468:4","at:49:1468:8","1","1","240"
"at:49:1468:4_at:49:1468:9_walkway_1","at:49:1468:4","at:49:1468:9","1","1","120"
"at:49:1468:4_at:49:1468:12_walkway_1","at:49:1468:4","at:49:1468:12","1","1","60"
"at:49:1468:4_at:49:1468:18_walkway_1","at:49:1468:4","at:49:1468:18","1","1","240"
"at:49:1468:4_at:49:1468:19_walkway_1","at:49:1468:4","at:49:1468:19","1","1","150"
"at:49:1468:5_at:49:1468:6_walkway_1","at:49:1468:5","at:49:1468:6","1","1","30"
"at:49:1468:5_at:49:1468:7_walkway_1","at:49:1468:5","at:49:1468:7","1","1","30"
"at:49:1468:5_at:49:1468:8_walkway_1","at:49:1468:5","at:49:1468:8","1","1","300"
"at:49:1468:5_at:49:1468:9_walkway_1","at:49:1468:5","at:49:1468:9","1","1","60"
"at:49:1468:5_at:49:1468:12_walkway_1","at:49:1468:5","at:49:1468:12","1","1","60"
"at:49:1468:5_at:49:1468:18_walkway_1","at:49:1468:5","at:49:1468:18","1","1","180"
"at:49:1468:5_at:49:1468:19_walkway_1","at:49:1468:5","at:49:1468:19","1","1","150"
"at:49:1468:6_at:49:1468:7_walkway_1","at:49:1468:6","at:49:1468:7","1","1","60"
"at:49:1468:6_at:49:1468:8_walkway_1","at:49:1468:6","at:49:1468:8","1","1","240"
"at:49:1468:6_at:49:1468:9_walkway_1","at:49:1468:6","at:49:1468:9","1","1","90"
"at:49:1468:6_at:49:1468:12_walkway_1","at:49:1468:6","at:49:1468:12","1","1","60"
"at:49:1468:6_at:49:1468:18_walkway_1","at:49:1468:6","at:49:1468:18","1","1","210"
"at:49:1468:6_at:49:1468:19_walkway_1","at:49:1468:6","at:49:1468:19","1","1","150"
"at:49:1468:7_at:49:1468:8_walkway_1","at:49:1468:7","at:49:1468:8","1","1","300"
"at:49:1468:7_at:49:1468:9_walkway_1","at:49:1468:7","at:49:1468:9","1","1","90"
"at:49:1468:7_at:49:1468:12_walkway_1","at:49:1468:7","at:49:1468:12","1","1","60"
"at:49:1468:7_at:49:1468:18_walkway_1","at:49:1468:7","at:49:1468:18","1","1","210"
"at:49:1468:7_at:49:1468:19_walkway_1","at:49:1468:7","at:49:1468:19","1","1","150"
"at:49:1468:8_at:49:1468:9_walkway_1","at:49:1468:8","at:49:1468:9","1","1","180"
"at:49:1468:8_at:49:1468:12_walkway_1","at:49:1468:8","at:49:1468:12","1","1","300"
"at:49:1468:8_at:49:1468:16_walkway_1","at:49:1468:8","at:49:1468:16","1","1","180"
"at:49:1468:8_at:49:1468:21_walkway_1","at:49:1468:8","at:49:1468:21","1","1","240"
"at:49:1468:9_at:49:1468:12_walkway_1","at:49:1468:9","at:49:1468:12","1","1","120"
"at:49:1468:9_at:49:1468:18_walkway_1","at:49:1468:9","at:49:1468:18","1","1","120"
"at:49:1468:9_at:49:1468:19_walkway_1","at:49:1468:9","at:49:1468:19","1","1","210"
"at:49:1468:9_at:49:1468:21_walkway_1","at:49:1468:9","at:49:1468:21","1","1","90"
"at:49:1468:10_at:49:1468:11_stairs_1","at:49:1468:10","at:49:1468:11","2","1","90"
"at:49:1468:10_at:49:1468:13_escalator_1","at:49:1468:10","at:49:1468:13","4","1","90"
"at:49:1468:10_at:49:1468:13_elevator_1","at:49:1468:10","at:49:1468:13","5","1","120"
"at:49:1468:10_at:49:1468:14_elevator_1","at:49:1468:10","at:49:1468:14","5","1","120"
"at:49:1468:10_at:49:1468:18_escalator_1","at:49:1468:10","at:49:1468:18","4","1","120"
"at:49:1468:10_at:49:1468:18_elevator_1","at:49:1468:10","at:49:1468:18","5","1","150"
"at:49:1468:10_at:49:1468:20_escalator_1","at:49:1468:10","at:49:1468:20","4","1","120"
"at:49:1468:11_at:49:1468:14_stairs_1","at:49:1468:11","at:49:1468:14","2","1","60"
"at:49:1468:11_at:49:1468:14_escalator_1","at:49:1468:11","at:49:1468:14","4","1","30"
"at:49:1468:11_at:49:1468:17_stairs_1","at:49:1468:11","at:49:1468:17","2","1","60"
"at:49:1468:11_at:49:1468:17_escalator_1","at:49:1468:11","at:49:1468:17","4","1","30"
"at:49:1468:12_at:49:1468:18_walkway_1","at:49:1468:12","at:49:1468:18","1","1","210"
"at:49:1468:12_at:49:1468:19_walkway_1","at:49:1468:12","at:49:1468:19","1","1","90"
"at:49:1468:13_at:49:1468:18_walkway_1","at:49:1468:13","at:49:1468:18","1","1","180"
"at:49:1468:13_at:49:1468:20_walkway_1","at:49:1468:13","at:49:1468:20","1","1","180"
"at:49:1468:16_at:49:1468:22_walkway_1","at:49:1468:16","at:49:1468:22","1","1","120"
"at:49:1468:16_at:49:1468:23_walkway_1","at:49:1468:16","at:49:1468:23","1","1","120"
"at:49:1468:16_at:49:1468:0:20_walkway_1","at:49:1468:16","at:49:1468:0:20","1","1","90"
"at:49:1468:16_at:49:1468:25_walkway_1","at:49:1468:16","at:49:1468:25","1","1","90"
"at:49:1468:16_at:49:1468:0:2_walkway_1","at:49:1468:16","at:49:1468:0:2","1","1","90"
"at:49:1468:18_at:49:1468:19_walkway_1","at:49:1468:18","at:49:1468:19","1","1","120"
"at:49:1468:18_at:49:1468:20_stairs_1","at:49:1468:18","at:49:1468:20","2","1","60"
"at:49:1468:18_at:49:1468:20_escalator_1","at:49:1468:18","at:49:1468:20","4","1","120"
"at:49:1468:18_at:49:1468:20_elevator_1","at:49:1468:18","at:49:1468:20","5","1","90"
"at:49:1468:18_at:49:1468:21_walkway_1","at:49:1468:18","at:49:1468:21","1","1","30"
"at:49:1468:18_at:49:1468:22_stairs_1","at:49:1468:18","at:49:1468:22","2","1","90"
"at:49:1468:18_at:49:1468:22_escalator_1","at:49:1468:18","at:49:1468:22","4","1","102"
"at:49:1468:18_at:49:1468:22_elevator_1","at:49:1468:18","at:49:1468:22","5","1","120"
"at:49:1468:18_at:49:1468:23_stairs_1","at:49:1468:18","at:49:1468:23","2","1","90"
"at:49:1468:18_at:49:1468:23_escalator_1","at:49:1468:18","at:49:1468:23","4","1","102"
"at:49:1468:18_at:49:1468:23_elevator_1","at:49:1468:18","at:49:1468:23","5","1","120"
